timestamp,timestamp_horario_utc,timestamp_horario_utc_diff,Avancado 1S2,Recuado 1S1,V1 12,V1 14,Inicia,Para
1757031320673,2025-09-05 00:15:20.673,115.0,0,0,0,1,0,1
1757031320789,2025-09-05 00:15:20.789,116.0,0,0,0,1,0,1
1757031320913,2025-09-05 00:15:20.913,124.0,0,0,0,1,0,1
1757031321027,2025-09-05 00:15:21.027,114.0,1,0,0,1,0,1
1757031321151,2025-09-05 00:15:21.151,124.0,1,0,0,1,0,1
1757031321268,2025-09-05 00:15:21.268,117.0,1,0,0,1,0,1
1757031321381,2025-09-05 00:15:21.381,113.0,1,0,0,1,0,1
1757031321506,2025-09-05 00:15:21.506,125.0,1,0,0,1,0,1
1757031321621,2025-09-05 00:15:21.621,115.0,1,0,0,1,0,1
1757031321736,2025-09-05 00:15:21.736,115.0,1,0,0,1,0,1
1757031321861,2025-09-05 00:15:21.861,125.0,1,0,0,1,0,1
1757031321974,2025-09-05 00:15:21.974,113.0,1,0,1,0,0,1
1757031322091,2025-09-05 00:15:22.091,117.0,0,0,1,0,0,1
1757031322214,2025-09-05 00:15:22.214,123.0,0,0,1,0,0,1
1757031322329,2025-09-05 00:15:22.329,115.0,0,0,1,0,0,1
1757031322453,2025-09-05 00:15:22.453,124.0,0,1,1,0,0,1
1757031322568,2025-09-05 00:15:22.568,115.0,0,1,1,0,0,1
1757031322684,2025-09-05 00:15:22.684,116.0,0,1,1,0,0,1
1757031323024,2025-09-05 00:15:23.024,340.0,0,1,1,0,0,1
1757031323090,2025-09-05 00:15:23.090,66.0,0,1,1,0,0,1
1757031323157,2025-09-05 00:15:23.157,67.0,0,1,1,0,0,1
1757031323231,2025-09-05 00:15:23.231,74.0,0,1,1,0,0,1
1757031323315,2025-09-05 00:15:23.315,84.0,0,1,1,0,0,1
1757031323402,2025-09-05 00:15:23.402,87.0,0,0,0,1,0,1
1757031323516,2025-09-05 00:15:23.516,114.0,0,0,0,1,0,1
1757031323630,2025-09-05 00:15:23.630,114.0,0,0,0,1,0,1
1757031323755,2025-09-05 00:15:23.755,125.0,1,0,0,1,0,1
1757031323870,2025-09-05 00:15:23.870,115.0,1,0,0,1,0,1
1757031323984,2025-09-05 00:15:23.984,114.0,1,0,0,1,0,1
1757031324110,2025-09-05 00:15:24.110,126.0,1,0,0,1,0,1
1757031324225,2025-09-05 00:15:24.225,115.0,1,0,0,1,0,1
1757031324340,2025-09-05 00:15:24.340,115.0,1,0,0,1,0,1
1757031324463,2025-09-05 00:15:24.463,123.0,1,0,0,1,0,1
1757031324578,2025-09-05 00:15:24.578,115.0,1,0,0,1,0,1
1757031324704,2025-09-05 00:15:24.704,126.0,1,0,0,1,0,1
1757031324818,2025-09-05 00:15:24.818,114.0,1,0,1,0,0,1
1757031324933,2025-09-05 00:15:24.933,115.0,0,0,1,0,0,1
1757031325058,2025-09-05 00:15:25.058,125.0,0,0,1,0,0,1
1757031325171,2025-09-05 00:15:25.171,113.0,0,0,1,0,0,1
1757031325286,2025-09-05 00:15:25.286,115.0,0,1,1,0,0,1
1757031325412,2025-09-05 00:15:25.412,126.0,0,1,1,0,0,1
1757031325526,2025-09-05 00:15:25.526,114.0,0,1,1,0,0,1
1757031325641,2025-09-05 00:15:25.641,115.0,0,1,1,0,0,1
1757031325765,2025-09-05 00:15:25.765,124.0,0,1,1,0,0,1
1757031325883,2025-09-05 00:15:25.883,118.0,0,1,1,0,0,1
1757031326005,2025-09-05 00:15:26.005,122.0,0,1,1,0,0,1
1757031326121,2025-09-05 00:15:26.121,116.0,0,1,1,0,0,1
1757031326234,2025-09-05 00:15:26.234,113.0,0,0,0,1,0,1
1757031326361,2025-09-05 00:15:26.361,127.0,0,0,0,1,0,1
1757031326475,2025-09-05 00:15:26.475,114.0,0,0,0,1,0,1
1757031326588,2025-09-05 00:15:26.588,113.0,1,0,0,1,0,1
1757031326725,2025-09-05 00:15:26.725,137.0,1,0,0,1,0,1
1757031326829,2025-09-05 00:15:26.829,104.0,1,0,0,1,0,1
1757031326955,2025-09-05 00:15:26.955,126.0,1,0,0,1,0,1
1757031327069,2025-09-05 00:15:27.069,114.0,1,0,0,1,0,1
1757031327183,2025-09-05 00:15:27.183,114.0,1,0,0,1,0,1
1757031327310,2025-09-05 00:15:27.310,127.0,1,0,0,1,0,1
1757031327411,2025-09-05 00:15:27.411,101.0,1,0,0,1,0,1
1757031327524,2025-09-05 00:15:27.524,113.0,1,0,1,0,0,1
1757031327638,2025-09-05 00:15:27.638,114.0,0,0,1,0,0,1
1757031327737,2025-09-05 00:15:27.737,99.0,0,0,1,0,0,1
1757031327863,2025-09-05 00:15:27.863,126.0,0,0,1,0,0,1
1757031327976,2025-09-05 00:15:27.976,113.0,0,1,1,0,0,1
1757031328075,2025-09-05 00:15:28.075,99.0,0,1,1,0,0,1
1757031328202,2025-09-05 00:15:28.202,127.0,0,1,1,0,0,1
1757031328316,2025-09-05 00:15:28.316,114.0,0,1,1,0,0,1
1757031328623,2025-09-05 00:15:28.623,307.0,0,1,1,0,0,1
1757031328691,2025-09-05 00:15:28.691,68.0,0,1,1,0,0,1
1757031328760,2025-09-05 00:15:28.760,69.0,0,1,1,0,0,1
1757031328836,2025-09-05 00:15:28.836,76.0,0,1,1,0,0,1
1757031328931,2025-09-05 00:15:28.931,95.0,0,1,1,0,0,1
1757031329026,2025-09-05 00:15:29.026,95.0,0,0,0,1,0,1
1757031329139,2025-09-05 00:15:29.139,113.0,0,0,0,1,0,1
1757031329239,2025-09-05 00:15:29.239,100.0,0,0,0,1,0,1
1757031329365,2025-09-05 00:15:29.365,126.0,1,0,0,1,0,1
1757031329481,2025-09-05 00:15:29.481,116.0,1,0,0,1,0,1
1757031329604,2025-09-05 00:15:29.604,123.0,1,0,0,1,0,1
1757031329719,2025-09-05 00:15:29.719,115.0,1,0,0,1,0,1
1757031329833,2025-09-05 00:15:29.833,114.0,1,0,0,1,0,1
1757031329958,2025-09-05 00:15:29.958,125.0,1,0,0,1,0,1
1757031330073,2025-09-05 00:15:30.073,115.0,1,0,0,1,0,1
1757031330190,2025-09-05 00:15:30.190,117.0,1,0,0,1,0,1
1757031330312,2025-09-05 00:15:30.312,122.0,1,0,1,0,0,1
1757031330428,2025-09-05 00:15:30.428,116.0,0,0,1,0,0,1
1757031330553,2025-09-05 00:15:30.553,125.0,0,0,1,0,0,1
1757031330667,2025-09-05 00:15:30.667,114.0,0,0,1,0,0,1
1757031330783,2025-09-05 00:15:30.783,116.0,0,1,1,0,0,1
1757031330906,2025-09-05 00:15:30.906,123.0,0,1,1,0,0,1
1757031331022,2025-09-05 00:15:31.022,116.0,0,1,1,0,0,1
1757031331136,2025-09-05 00:15:31.136,114.0,0,1,1,0,0,1
1757031331261,2025-09-05 00:15:31.261,125.0,0,1,1,0,0,1
1757031331376,2025-09-05 00:15:31.376,115.0,0,1,1,0,0,1
1757031331490,2025-09-05 00:15:31.490,114.0,0,1,1,0,0,1
1757031331613,2025-09-05 00:15:31.613,123.0,0,1,1,0,0,1
1757031331735,2025-09-05 00:15:31.735,122.0,0,1,0,1,0,1
1757031331854,2025-09-05 00:15:31.854,119.0,0,0,0,1,0,1
1757031331954,2025-09-05 00:15:31.954,100.0,0,0,0,1,0,1
1757031332069,2025-09-05 00:15:32.069,115.0,0,0,0,1,0,1
1757031332184,2025-09-05 00:15:32.184,115.0,1,0,0,1,0,1
1757031332308,2025-09-05 00:15:32.308,124.0,1,0,0,1,0,1
1757031332423,2025-09-05 00:15:32.423,115.0,1,0,0,1,0,1
1757031332553,2025-09-05 00:15:32.553,130.0,1,0,0,1,0,1
1757031332663,2025-09-05 00:15:32.663,110.0,1,0,0,1,0,1
1757031332777,2025-09-05 00:15:32.777,114.0,1,0,0,1,0,1
1757031332903,2025-09-05 00:15:32.903,126.0,1,0,0,1,0,1
1757031333017,2025-09-05 00:15:33.017,114.0,1,0,0,1,0,1
1757031333132,2025-09-05 00:15:33.132,115.0,1,0,1,0,0,1
1757031333257,2025-09-05 00:15:33.257,125.0,0,0,1,0,0,1
1757031333373,2025-09-05 00:15:33.373,116.0,0,0,1,0,0,1
1757031333486,2025-09-05 00:15:33.486,113.0,0,0,1,0,0,1
1757031333612,2025-09-05 00:15:33.612,126.0,0,1,1,0,0,1
1757031333726,2025-09-05 00:15:33.726,114.0,0,1,1,0,0,1
1757031333841,2025-09-05 00:15:33.841,115.0,0,1,1,0,0,1
1757031334073,2025-09-05 00:15:34.073,232.0,0,1,1,0,0,1
1757031334192,2025-09-05 00:15:34.192,119.0,0,1,1,0,0,1
1757031334327,2025-09-05 00:15:34.327,135.0,0,1,1,0,0,1
1757031334396,2025-09-05 00:15:34.396,69.0,0,1,1,0,0,1
1757031334487,2025-09-05 00:15:34.487,91.0,0,1,1,0,0,1
1757031334534,2025-09-05 00:15:34.534,47.0,0,1,0,1,0,1
1757031334658,2025-09-05 00:15:34.658,124.0,0,0,0,1,0,1
1757031334772,2025-09-05 00:15:34.772,114.0,0,0,0,1,0,1
1757031334887,2025-09-05 00:15:34.887,115.0,1,0,0,1,0,1
1757031335012,2025-09-05 00:15:35.012,125.0,1,0,0,1,0,1
1757031335127,2025-09-05 00:15:35.127,115.0,1,0,0,1,0,1
1757031335252,2025-09-05 00:15:35.252,125.0,1,0,0,1,0,1
1757031335368,2025-09-05 00:15:35.368,116.0,1,0,0,1,0,1
1757031335482,2025-09-05 00:15:35.482,114.0,1,0,0,1,0,1
1757031335606,2025-09-05 00:15:35.606,124.0,1,0,0,1,0,1
1757031335722,2025-09-05 00:15:35.722,116.0,1,0,0,1,0,1
1757031335835,2025-09-05 00:15:35.835,113.0,1,0,0,1,0,1
1757031335961,2025-09-05 00:15:35.961,126.0,1,0,1,0,0,1
1757031336074,2025-09-05 00:15:36.074,113.0,0,0,1,0,0,1
1757031336190,2025-09-05 00:15:36.190,116.0,0,0,1,0,0,1
1757031336314,2025-09-05 00:15:36.314,124.0,0,1,1,0,0,1
